dbc2cf 9fa2b2 3c7a89 2e4756 16262e
9d858d bba0b2 a4a8d1 a4bfeb 8cabbe
080705 40434e 702632 912f40 fffffa
7cea9c 55d6be 2e5eaa 5b4e77 593959
f46036 5b85aa 414770 372248 171123
ceb992 73937e 585563 5b2e48 471323
fae3e3 f7d4bc cfa5b4 c98bb9 846b8a
c9cba3 ffe1a8 e26d5c 723d46 472d30
eec643 141414 eef0f2 0d21a1 011638
08415c cc2936 ebbab9 388697 b5ffe1
fcfafa c8d3d5 a4b8c4 6e8387 0cca4a
595959 7f7f7f a5a5a5 cccccc f2f2f2
52414c 596157 5b8c5a cfd186 e3655b
293132 474044 4f5165 547aa5 50d8d7
11270b 71b340 669d31 598b2c 3c5a14
c7e8f3 bf9aca 8e4162 41393e eda2c0
dff2d8 c6dea6 7ebdc3 7a6263 ced097
000000 2f1000 621b00 945600 c75000
c4a69d 98a886 465c69 363457 735290
d6d2d2 f1e4f3 f4bbd3 f686bd fe5d9f
2de1fc 2afc98 09e85e 16c172 214f4b
04e762 f5b700 00a1e4 dc0073 89fc00
53dd6c 63a088 56638a 483a58 56203d
631d76 9e4770 fbfbfb 2e2532 201a23
616163 44ffd2 87f6ff daf5ff ffbfa0
292f36 4ecdc4 f7fff7 ff6b6b ffe66d
594f3b 776258 896279 9c7ca5 adb2d3
ddd78d dcbf85 8b635c 60594d 93a29b
f5e0b7 d6ba73 8bbf9f 857e7b 59344f
dce0d9 31081f 6b0f1a 595959 808f85
dbf9f4 e6fdff d9d7dd b07bac 5f7367
df9a57 fc7a57 fcd757 eefc57 5e5b52
643a71 8b5fbf d183c9 e3879e fec0ce
82ff9e a9fbc3 b594b6 935fa7 9b489b
bcf8ec aed9e0 9fa0c3 8b687f 7b435b
764248 dda3b2 ffadc6 e3c5bb dfe2cf
e3d8f1 dabeca bf8b85 ad8a64 5d5f71
483c46 3c6e71 70ae6e beee62 f4743b
7a306c 8e8dbe a9e4ef 81f495 96f550
a09ebb a8aec1 b5d2cb bfffbc a6ffa1
3a3335 d81e5b f0544f fdf0d5 c6d8d3
1be7ff 6eeb83 e4ff1a ffb800 ff5714
403f4c 2c2b3c 1b2432 121420 b76d68
010001 2b0504 874000 bc5f04 f4442e
241e4e 960200 ce6c47 ffd046 eadaa2
f3f9d2 cbeaa6 c0d684 3d0b37 63264a
fcecc9 fcb0b3 f93943 7eb2dd 445e93
96bdc6 81968f cfb9a5 e8ccbf e9d6ec
c96480 b47978 b1ae91 95bf8f 99d17b
533747 5f506b 6a6b83 76949f 86bbbd
984447 add9f4 476c9b 468c98 101419
89d2dc 6564db 232ed1 101d42 0d1317
9381ff b8b8ff f8f7ff ffeedd ffd8be
474a2c 636940 59a96a 9bdeac b4e7ce
334139 1e2d24 c52184 e574bc f9b4ed
541388 d90368 f1e9da 2e294e ffd400
0f1108 241909 00f6ed cad8de 645853
4f6d7a c0d6df dbe9ee 4a6fa5 166088
2d2d2a 353831 38423b 3f5e5a 20fc8f
91f9e5 76f7bf 5fdd9d 499167 3f4531
a4243b d8c99b d8973c bd632f 273e47
f7f7ff c49991 279af1 60656f 131112
f85a3e ff7733 e15634 e63b2e e1e6e1
baf2bb baf2d8 bad7f2 f2bac9 f2e2ba
141b41 306bac 6f9ceb 98b9f2 918ef4
d6d9ce f3dad8 f4c3c2 f1b5cb e88eed
1b998b 2d3047 fffd82 ff9b71 e84855
eef0f2 c6c7c4 a2999e 846a6a 353b3c
46b1c9 84c0c6 9fb7b9 bcc1ba f2e2d2
dee5e5 9dc5bb 17b890 5e807f 082d0f
b5ffe1 93e5ab 65b891 4e878c 00241b
171219 225560 edf060 f0803c 310d20
ff99c9 c1bddb a2c7e5 58fcec 303a2b
ff220c d33e43 9b7874 666370 1c1f33
e0e0e2 81d2c7 b5bad0 7389ae 416788
c05746 adc698 d0e3c4 ffffff 503047
ffac81 ff928b fec3a6 efe9ae cdeac0
e2eb98 93a392 adbf97 bad9a2 9dc4b5
b37ba4 d99ac5 dccde8 14bdeb 00100b
93827f f3f9d2 bdc4a7 2f2f2f 92b4a7
ffa400 009ffd 2a2a72 232528 eaf6ff
c6ebbe a9dbb8 7ca5b8 38369a 020887
f5e6e8 d5c6e0 aaa1c8 967aa1 192a51
faf3dd c8d5b9 8fc0a9 68b0ab 4a7c59
f3f9d2 cbeaa6 c0d684 3d0b37 63264a
436436 d6f599 d2ff28 c84c09 420217
404e4d 63595c 646881 62bec1 5ad2f4
55d6be acfcd9 7d5ba6 dddddd fc6471
7c9eb2 52528c 372554 231123 000000
002500 929982 edcbb1 b7245c 7c3238
